"GEOID","state","county","year","inf_mort_rate_5yr_lt1_avg","hosp_per100k","lth_psych_per100k","hosp_adm_per100k","hosp_beds_per1000","md_nf_fed_per100k","do_nf_fed_activ_per100k","stgh_ed_vists_per100k","stnglth_ed_vists_per100k","lo_birth_wgt_pct","suicide_deth_3yr_per100k","stgh_obstetrc_care_per100k_fem","do_nf_obgyn_gen_per100k_fem","md_nf_obgyn_gen_per100k_fem","comn_mentl_hlth_ctr_per100k","fedly_qualfd_hlth_ctr_per100k"
"13063","GA","Clayton","2022",9.2,0.67439068801338,0,3226.28505145601,0.947518916658799,96.77506372992,3.03475809606021,11547.5917508531,0,14.4865174985657,12.4762277282475,0.634115409004439,0,8.24350031705771,0,0.33719534400669
"13065","GA","Clinch","2022",NA,15.0105073551486,0,3257.28009606725,2.70189132392675,45.0315220654458,0,22830.981687181,0,12.5,NA,0,0,29.0951411114344,0,0
"13067","GA","Cobb","2022",5.2,0.647708665823782,0,7824.70930835078,1.68015627914689,320.615789582772,13.7314237154642,28074.4139531992,0,8.95809739524349,12.6950898501461,0.506070313409345,0.759105470114018,25.5565508271719,0.388625199494269,0.906792132153295
"13069","GA","Coffee","2022",NA,2.31631613082553,0,9890.66987862503,2.26998980820902,152.876864634485,11.5815806541277,63362.8277587325,0,10.3571428571429,NA,4.78285823608188,0,19.1314329443275,0,4.63263226165107
"13071","GA","Colquitt","2022",NA,4.370438354967,0,17446.7899130283,5.1789694506359,168.26187666623,28.4078493072855,72166.8633363926,3970.54324548752,10.8731466227348,NA,4.35161009573542,0,21.7580504786771,0,4.370438354967
"13073","GA","Columbia","2022",NA,0,0,0,0,535.035925599837,52.3337786835284,0,0,8.23117338003503,17.855053903792,0,1.20746697577821,26.5642734671207,0,2.46276605569545
"13075","GA","Cook","2022",NA,5.74580556193978,0,3453.22914272581,6.60767639623075,68.9496667432774,5.74580556193978,0,0,13.7440758293839,NA,0,0,0,0,5.74580556193978
"13077","GA","Coweta","2022",6.2,1.96229771981005,0,7208.17362410225,1.60908413024424,151.75102366531,3.27049619968342,17552.099004461,0,9.57116221255438,17.0065802383538,0,2.55385440476038,15.3231264285623,0,1.30819847987337
"13079","GA","Crawford","2022",NA,0,0,0,0,24.7116968698517,0,0,0,NA,NA,0,0,0,0,24.7116968698517
"13081","GA","Crisp","2022",NA,5.07408159123199,0,15420.133955754,16.0340978282931,197.889182058048,15.222244773696,94083.6208646235,0,16.1157024793388,NA,9.70026190707149,0,19.400523814143,0,35.5185711386239
"13083","GA","Dade","2022",NA,0,0,0,0,62.1851874883403,6.21851874883403,0,0,NA,NA,0,0,0,0,6.21851874883403
"13085","GA","Dawson","2022",NA,0,0,0,0,116.132457362798,9.95421063109695,0,0,6.76923076923077,NA,0,6.65026268537607,6.65026268537607,0,3.31807021036565
"13087","GA","Decatur","2022",NA,3.45041750051756,0,8536.33289628045,2.76033400041405,103.512525015527,3.45041750051756,38737.8372783107,0,13.9941690962099,NA,0,0,13.4318334452653,0,3.45041750051756
"13089","GA","DeKalb","2022",6.7,1.31092525104219,0,12300.2805380037,3.8161034057838,752.34000157311,17.5663983639653,26553.8397000603,20236.2287302378,10.7427319792911,11.6672347342755,0.249198825775133,0.498397651550266,34.6386367827435,0.262185050208437,2.62185050208437
"13091","GA","Dodge","2022",NA,5.04999495000505,0,4090.49590950409,1.56549843450157,131.299868700131,0,53595.5964044036,0,9.55056179775281,NA,0,0,10.6769165065129,0,10.0999899000101
"13093","GA","Dooly","2022",NA,0,0,0,0,56.7536889897843,0,0,0,14.4329896907216,NA,0,0,0,0,37.8357926598562
"13095","GA","Dougherty","2022",10.4,1.20531301979124,0,20872.4055637249,4.91767712074826,365.209844996746,20.4903213364511,72289.8536749994,0,14.6643109540636,12.0531301979124,2.22335860550948,2.22335860550948,28.9036618716233,0,18.0796952968686
"13097","GA","Douglas","2022",7.3,1.35762578402889,0,4810.06815281436,2.02286241820305,109.96768850634,5.43050313611556,39699.6931765728,0,11.8934911242604,11.5398191642456,1.3000013000013,1.3000013000013,5.2000052000052,0,0
"13099","GA","Early","2022",NA,9.45715906941555,0,8899.18668432003,14.3748817855116,66.2001134859088,9.45715906941555,63306.2228106677,0,18.75,NA,0,0,0,0,18.9143181388311
